left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
105.000000,18.000000,106.415680,16.024490,1.415679,-1.975510,NaN,NaN,NaN,0.008559
108.000000,18.000000,109.426346,16.059702,1.426348,-1.940297,NaN,NaN,NaN,0.008265
111.000000,18.000000,112.465248,16.156384,1.465249,-1.843617,NaN,NaN,NaN,0.005632
114.000000,18.000000,115.458649,16.195372,1.458652,-1.804628,NaN,NaN,NaN,0.006454
117.000000,18.000000,118.497169,16.354914,1.497172,-1.645086,NaN,NaN,NaN,0.006317
120.000000,18.000000,121.480278,16.434568,1.480275,-1.565431,NaN,NaN,NaN,0.005766
123.000000,18.000000,124.481186,16.558270,1.481185,-1.441731,NaN,NaN,NaN,0.005664
126.000000,18.000000,127.514557,16.690311,1.514559,-1.309689,NaN,NaN,NaN,0.005532
129.000000,18.000000,130.509720,16.855270,1.509721,-1.144729,NaN,NaN,NaN,0.005579
132.000000,18.000000,133.538406,17.013824,1.538400,-0.986176,NaN,NaN,NaN,0.006268
135.000000,18.000000,136.507034,17.196060,1.507032,-0.803940,NaN,NaN,NaN,0.006367
138.000000,18.000000,139.485565,17.317364,1.485558,-0.682637,NaN,NaN,NaN,0.006024
141.000000,18.000000,142.471558,17.438097,1.471552,-0.561902,NaN,NaN,NaN,0.005993
144.000000,18.000000,145.548294,17.598509,1.548289,-0.401492,NaN,NaN,NaN,0.006937
147.000000,18.000000,148.608505,17.753222,1.608502,-0.246778,NaN,NaN,NaN,0.006993
150.000000,18.000000,151.641449,17.824644,1.641447,-0.175356,NaN,NaN,NaN,0.005646
153.000000,18.000000,154.989288,18.010763,1.989293,0.010763,NaN,NaN,NaN,0.007569
156.000000,18.000000,157.716644,18.347572,1.716646,0.347572,NaN,NaN,NaN,0.008276
159.000000,18.000000,160.511520,18.633810,1.511518,0.633810,NaN,NaN,NaN,0.007263
162.000000,18.000000,163.420456,18.783916,1.420459,0.783917,NaN,NaN,NaN,0.007263
165.000000,18.000000,166.439804,18.936457,1.439805,0.936458,NaN,NaN,NaN,0.009706
168.000000,18.000000,169.582260,19.149275,1.582259,1.149275,NaN,NaN,NaN,0.011300
171.000000,18.000000,172.620789,19.265282,1.620781,1.265282,NaN,NaN,NaN,0.012634
174.000000,18.000000,175.620865,19.407181,1.620863,1.407180,NaN,NaN,NaN,0.014590
177.000000,18.000000,178.614365,19.470579,1.614359,1.470578,NaN,NaN,NaN,0.012745
180.000000,18.000000,181.666565,19.638506,1.666562,1.638505,NaN,NaN,NaN,0.014615
183.000000,18.000000,184.710602,19.765774,1.710597,1.765773,NaN,NaN,NaN,0.013930
186.000000,18.000000,187.772354,19.875744,1.772356,1.875744,NaN,NaN,NaN,0.008116
12.000000,21.000000,13.973786,22.717880,1.973787,1.717880,NaN,NaN,NaN,0.008440
15.000000,21.000000,16.987963,22.634369,1.987964,1.634370,NaN,NaN,NaN,0.011642
18.000000,21.000000,20.000347,22.573788,2.000348,1.573787,NaN,NaN,NaN,0.016061
